iter	F1	Logloss
0	0.7473469067	0.6714266294
1	0.7473227437	0.6505425319
2	0.7459075301	0.6330946164
3	0.7453520451	0.6194567444
4	0.7447665377	0.6070329146
5	0.7435140097	0.5938151108
6	0.7454009716	0.5822477409
7	0.7459257493	0.5717153105
8	0.7468585971	0.562930565
9	0.749186185	0.5548024624
10	0.7498614739	0.5488683075
11	0.7494365585	0.5433874133
12	0.7499010371	0.5379138011
13	0.7502566938	0.5328393888
14	0.7508287293	0.5284997692
15	0.7504442952	0.5235084932
16	0.7500790389	0.5201645412
17	0.7502369668	0.5173489932
18	0.7504734848	0.5145706412
19	0.7506015067	0.511737975
20	0.7510252366	0.5093706838
21	0.7511537096	0.5072529913
22	0.7514601421	0.5053201617
23	0.7521117865	0.5035575916
24	0.7524268014	0.5018157374
25	0.7525104768	0.4999011508
26	0.7525818067	0.4982690147
27	0.7526344981	0.4966445838
28	0.7525679159	0.4942537586
29	0.7522222222	0.4932945725
30	0.7523212443	0.4921675055
31	0.7523919171	0.4903745948
32	0.753214796	0.4890144213
33	0.7530486594	0.4882682106
34	0.7536646407	0.4872018459
35	0.7538027722	0.4863641427
36	0.7540111199	0.4856468336
37	0.7541881699	0.4842539406
38	0.754892232	0.4830989144
39	0.7550510062	0.4820276192
40	0.7554339204	0.4809104116
41	0.7553440412	0.4803999606
42	0.7556295592	0.4797076179
43	0.755858678	0.4787640306
44	0.7561546085	0.4782407401
45	0.7560753221	0.4776234094
46	0.7559098842	0.4768392603
47	0.755927365	0.476375015
48	0.756161344	0.4759833933
49	0.7566475134	0.47543785
50	0.7567460475	0.4751168569
51	0.7568852784	0.4744578985
52	0.7571037927	0.4741182187
53	0.7576009831	0.4738298958
54	0.7574447837	0.4736224644
55	0.7577211275	0.4731046471
56	0.7577703774	0.4727750786
57	0.7581367691	0.4723165102
58	0.7586425626	0.4715876255
59	0.7588230629	0.4712278824
60	0.7592034275	0.4705391437
61	0.7593510769	0.4703080186
62	0.7596161472	0.4701139685
63	0.7597477292	0.4697304135
64	0.7595619743	0.4693829021
65	0.7595207871	0.4691052143
66	0.7597397445	0.4689581769
67	0.7596222522	0.4687601766
68	0.7596745386	0.4684649478
69	0.7598936212	0.4678991426
70	0.7597951649	0.4677490962
71	0.7602223104	0.4675765493
72	0.7605242256	0.4674093313
73	0.7603384579	0.4671976023
74	0.7606114751	0.4668688354
75	0.7607702998	0.4667159663
76	0.7608229407	0.4660493866
77	0.7605544303	0.4659413612
78	0.7605544303	0.4657298607
79	0.7608039403	0.4655810801
80	0.7610724926	0.4652524736
81	0.7612959581	0.4651178075
82	0.7611069202	0.4649290943
83	0.7609670888	0.4648045121
84	0.7610542193	0.4646157565
85	0.7608117231	0.4640201727
86	0.7608117231	0.4638627322
87	0.7606718818	0.4637218555
88	0.7609593393	0.4636265688
89	0.7607702998	0.4634632878
90	0.7615531205	0.4631264185
91	0.7616477498	0.4629812384
92	0.7615796785	0.46273714
93	0.7616249057	0.4624060002
94	0.761651449	0.462223949
95	0.7619803867	0.4621357508
96	0.7622524703	0.4619875146
97	0.762006827	0.4616366379
98	0.7622374846	0.4614526816
99	0.7624454148	0.4612824494
100	0.7628874162	0.4611334273
101	0.7628800508	0.4609390222
102	0.7631902815	0.460476335
103	0.7633375675	0.4603566166
104	0.7634891015	0.4602432531
105	0.7634400064	0.4601235648
106	0.7636363636	0.4599833179
107	0.7633302894	0.4598841577
108	0.7634472629	0.4597775106
109	0.763496348	0.4593772246
110	0.7635078804	0.4591977003
111	0.7632666031	0.4590729874
