iter	Passed	Remaining
0	19	9496
1	33	8237
2	41	6850
3	50	6202
4	58	5754
5	66	5503
6	75	5314
7	84	5166
8	93	5079
9	102	5025
10	111	4970
11	120	4911
12	129	4856
13	138	4807
14	146	4751
15	156	4722
16	164	4669
17	172	4624
18	180	4571
19	189	4556
20	198	4523
21	206	4485
22	214	4450
23	221	4388
24	229	4360
25	237	4337
26	246	4316
27	254	4295
28	263	4283
29	271	4245
30	277	4202
31	287	4207
32	295	4176
33	303	4158
34	312	4146
35	319	4117
36	328	4116
37	337	4106
38	346	4091
39	353	4070
40	361	4044
41	368	4014
42	377	4007
43	385	3992
44	393	3976
45	401	3966
46	410	3956
47	418	3944
48	427	3937
49	435	3915
50	444	3914
51	452	3896
52	459	3872
53	470	3886
54	477	3865
55	485	3852
56	497	3862
57	506	3860
58	516	3863
59	526	3861
60	535	3851
61	542	3834
62	551	3823
63	560	3815
64	568	3804
65	577	3796
66	586	3787
67	593	3771
68	602	3760
69	611	3756
70	619	3743
71	627	3727
72	634	3710
73	641	3694
74	650	3687
75	661	3690
76	669	3680
77	678	3671
78	687	3663
79	696	3654
80	705	3648
81	713	3638
82	721	3626
83	729	3611
84	737	3599
85	745	3590
86	753	3577
87	762	3567
88	769	3553
89	778	3546
90	787	3538
91	796	3530
92	803	3516
93	812	3508
94	819	3493
95	827	3481
96	837	3480
97	846	3471
98	854	3461
99	863	3453
100	870	3440
101	878	3426
102	887	3419
103	895	3408
104	904	3404
105	912	3393
106	921	3384
107	928	3370
108	937	3362
109	946	3355
110	953	3341
111	961	3329
112	969	3321
113	977	3308
114	987	3307
115	995	3295
116	1003	3285
117	1014	3282
118	1023	3277
119	1031	3265
120	1040	3259
121	1047	3245
122	1056	3238
123	1065	3230
124	1073	3220
125	1081	3210
126	1089	3200
127	1096	3187
128	1105	3179
129	1113	3170
130	1123	3163
131	1131	3153
132	1140	3147
133	1148	3137
134	1158	3132
135	1167	3125
136	1177	3120
137	1188	3117
138	1199	3114
139	1215	3126
140	1229	3131
141	1262	3183
142	1276	3186
143	1284	3175
144	1295	3172
145	1315	3188
146	1324	3180
147	1332	3168
148	1344	3168
149	1354	3160
150	1361	3147
151	1372	3141
152	1380	3130
153	1390	3124
154	1402	3120
155	1413	3117
156	1423	3109
157	1431	3098
158	1440	3089
159	1449	3080
160	1458	3070
161	1466	3060
162	1474	3049
163	1482	3037
164	1492	3031
165	1502	3022
166	1511	3013
167	1516	2997
168	1527	2990
169	1535	2980
170	1544	2971
171	1555	2966
172	1564	2957
173	1573	2948
174	1580	2936
175	1589	2926
176	1597	2915
177	1606	2905
178	1614	2895
179	1623	2885
180	1629	2871
181	1637	2861
182	1645	2849
183	1654	2841
184	1662	2831
185	1670	2820
186	1679	2811
187	1687	2800
188	1695	2790
189	1703	2779
190	1711	2769
191	1720	2760
192	1727	2748
193	1736	2738
194	1745	2730
195	1752	2718
196	1761	2709
197	1771	2701
198	1779	2691
199	1788	2682
200	1795	2670
201	1804	2661
202	1812	2651
203	1820	2641
204	1829	2633
205	1839	2624
206	1847	2614
207	1855	2604
208	1863	2595
209	1872	2585
210	1880	2575
211	1887	2563
212	1894	2553
213	1903	2543
214	1911	2533
215	1919	2523
216	1928	2514
217	1936	2505
218	1945	2495
219	1953	2486
220	1961	2476
221	1970	2467
222	1978	2458
223	1995	2458
224	2004	2450
225	2013	2441
226	2022	2431
227	2031	2423
228	2039	2413
229	2048	2404
230	2057	2395
231	2065	2386
232	2072	2375
233	2081	2366
234	2090	2357
235	2099	2348
236	2108	2340
237	2117	2330
238	2125	2321
239	2133	2311
240	2142	2302
241	2150	2292
242	2158	2282
243	2167	2273
244	2173	2262
245	2182	2253
246	2191	2244
247	2201	2236
248	2209	2227
249	2218	2218
250	2227	2209
251	2236	2200
252	2245	2192
253	2253	2182
254	2261	2172
255	2268	2162
256	2277	2153
257	2286	2144
258	2295	2135
259	2303	2126
260	2310	2116
261	2320	2108
262	2329	2099
263	2337	2089
264	2346	2080
265	2354	2071
266	2361	2061
267	2370	2051
268	2378	2042
269	2387	2034
270	2400	2028
271	2411	2021
272	2419	2011
273	2427	2001
274	2434	1992
275	2443	1983
276	2453	1975
277	2462	1966
278	2472	1958
279	2484	1951
280	2493	1943
281	2503	1935
282	2511	1925
283	2520	1916
284	2529	1908
285	2538	1899
286	2548	1891
287	2557	1882
288	2566	1873
289	2573	1863
290	2583	1855
291	2593	1847
292	2602	1838
293	2611	1829
294	2620	1821
295	2627	1810
296	2635	1801
297	2644	1792
298	2655	1784
299	2663	1775
300	2673	1767
301	2682	1758
302	2690	1749
303	2701	1741
304	2710	1732
305	2721	1725
306	2731	1717
307	2739	1707
308	2746	1697
309	2755	1689
310	2765	1680
311	2773	1671
312	2783	1663
313	2791	1653
314	2800	1644
315	2808	1635
316	2815	1625
317	2823	1616
318	2832	1607
319	2841	1598
320	2848	1588
321	2859	1580
322	2868	1572
323	2878	1563
324	2885	1553
325	2894	1544
326	2903	1535
327	2911	1526
328	2919	1517
329	2927	1508
330	2936	1499
331	2945	1490
332	2954	1481
333	2962	1472
334	2979	1467
335	2986	1457
336	2995	1448
337	3006	1440
338	3014	1431
339	3022	1422
340	3030	1413
341	3038	1403
342	3047	1394
343	3055	1385
344	3063	1376
345	3071	1367
346	3079	1357
347	3088	1349
348	3096	1339
349	3104	1330
350	3113	1321
351	3122	1312
352	3131	1303
353	3138	1294
354	3147	1285
355	3156	1276
356	3164	1267
357	3173	1258
358	3182	1249
359	3190	1240
360	3200	1232
361	3209	1223
362	3217	1214
363	3226	1205
364	3233	1195
365	3241	1186
366	3252	1178
367	3260	1169
368	3271	1161
369	3280	1152
370	3288	1143
371	3298	1134
372	3306	1125
373	3315	1116
374	3323	1107
375	3331	1098
376	3339	1089
377	3348	1080
378	3356	1071
379	3365	1062
380	3374	1053
381	3380	1044
382	3388	1035
383	3398	1026
384	3405	1017
385	3415	1008
386	3426	1000
387	3435	991
388	3442	982
389	3450	973
390	3458	964
391	3467	955
392	3474	946
393	3482	936
394	3492	928
395	3500	919
396	3509	910
397	3517	901
398	3525	892
399	3533	883
400	3542	874
401	3550	865
402	3559	856
403	3567	847
404	3576	838
405	3583	829
406	3592	820
407	3600	811
408	3608	802
409	3617	793
410	3625	785
411	3633	776
412	3641	767
413	3650	758
414	3658	749
415	3667	740
416	3677	732
417	3685	723
418	3695	714
419	3704	705
420	3711	696
421	3719	687
422	3728	678
423	3736	669
424	3745	661
425	3754	652
426	3762	643
427	3770	634
428	3778	625
429	3787	616
430	3794	607
431	3802	598
432	3810	589
433	3817	580
434	3825	571
435	3834	562
436	3841	553
437	3849	544
438	3858	536
439	3866	527
440	3875	518
441	3883	509
442	3891	500
443	3900	491
444	3909	483
445	3918	474
446	3927	465
447	3937	456
448	3945	448
449	3953	439
450	3960	430
451	3969	421
452	3988	413
453	3996	404
454	4004	396
455	4012	387
456	4020	378
457	4029	369
458	4038	360
459	4048	352
460	4057	343
461	4065	334
462	4072	325
463	4081	316
464	4088	307
465	4097	298
466	4107	290
467	4116	281
468	4126	272
469	4134	263
470	4142	255
471	4150	246
472	4160	237
473	4168	228
474	4176	219
475	4184	211
476	4194	202
477	4202	193
478	4209	184
479	4217	175
480	4224	166
481	4232	158
482	4241	149
483	4250	140
484	4258	131
485	4265	122
486	4272	114
487	4282	105
488	4291	96
489	4299	87
490	4306	78
491	4314	70
492	4322	61
493	4330	52
494	4338	43
495	4346	35
496	4355	26
497	4364	17
498	4372	8
499	4380	0
